term,borrowrate,listingcategory,isborrowerhomeowner,incomeverifiable,recommendation
36,0.158,0,True,True,0
36,0.092,2,False,True,0
36,0.275,0,False,True,0
36,0.0974,16,True,True,0
36,0.2085,2,True,True,0
60,0.1314,1,True,True,0
36,0.2712,1,False,True,0
36,0.2019,2,False,True,0
36,0.0629,7,True,True,0
36,0.0629,7,True,True,0
60,0.2489,1,False,True,0
36,0.1325,0,False,True,0
36,0.1435,1,False,True,0
36,0.1034,1,True,True,0
60,0.0949,1,False,True,0
36,0.3177,13,True,True,0
60,0.2809,6,True,True,0
36,0.125,0,True,True,0
36,0.0974,1,False,True,0
60,0.2225,1,False,True,0
36,0.1314,1,True,True,0
36,0.2075,0,False,True,0
36,0.3134,1,False,True,0
36,0.2419,15,False,True,0
36,0.162,1,True,True,0
36,0.2629,15,False,True,0
60,0.2809,1,False,True,0
36,0.092,1,True,True,0
36,0.166,2,True,True,0
36,0.1239,1,True,True,0
36,0.0999,20,False,True,0
36,0.3177,2,False,True,0
36,0.1274,1,True,True,0
36,0.0785,7,False,True,0
36,0.192,1,True,True,0
36,0.1621,1,False,True,0
36,0.285,1,True,True,0
36,0.2469,15,True,True,0
36,0.0759,1,True,True,0
36,0.145,0,False,True,0
60,0.1725,1,False,False,0
60,0.2085,7,True,True,0
36,0.29,0,False,True,0
36,0.176,1,False,True,0
36,0.1734,1,True,True,0
60,0.1099,1,True,True,0
36,0.15,1,False,True,2
36,0.1299,1,True,True,1
60,0.1519,1,True,True,0
60,0.0949,1,True,True,0
60,0.215,1,True,True,0
36,0.1799,1,True,True,0
36,0.1153,1,True,True,0
36,0.2712,1,False,True,0
60,0.1852,2,True,True,0
36,0.1399,1,False,True,0
36,0.187,1,False,True,0
36,0.2552,1,True,True,0
60,0.1519,1,False,True,0
36,0.16,0,False,True,0
60,0.1695,1,True,True,0
36,0.1274,19,True,True,0
36,0.23,0,False,True,0
36,0.29,0,True,True,0
36,0.2699,1,True,True,0
36,0.1605,1,True,True,0
36,0.15,0,False,True,0
12,0.2669,1,False,True,0
36,0.197,0,True,True,0
60,0.1139,1,True,False,0
36,0.2049,1,False,True,0
36,0.3177,13,True,True,0
36,0.2599,7,False,True,0
36,0.2272,1,True,True,0
36,0.3199,7,True,True,0
36,0.2859,19,False,True,0
36,0.25,0,True,True,0
36,0.1099,6,True,True,0
36,0.17,3,True,False,0
36,0.2049,1,False,True,0
36,0.2394,1,False,True,0
60,0.1,1,False,True,0
36,0.2932,7,False,True,0
36,0.2958,7,False,True,0
60,0.1984,1,True,True,0
60,0.1875,1,True,True,0
36,0.1905,1,True,True,0
36,0.2999,1,True,True,0
36,0.3199,7,True,True,0
36,0.1768,6,False,True,0
36,0.1845,0,True,True,0
36,0.322,1,False,True,0
36,0.0755,0,True,True,0
60,0.2489,18,True,True,0
36,0.3177,7,True,True,0
36,0.099,1,True,True,0
60,0.2124,1,False,True,0
36,0.1939,7,False,True,0
36,0.1355,1,True,True,0
60,0.0869,2,False,True,0
36,0.3134,13,False,False,0
36,0.1895,1,True,True,1
36,0.1338,1,True,True,0
36,0.2287,3,True,False,0
36,0.162,1,False,True,0
36,0.2699,6,False,False,0
36,0.1619,1,False,True,0
36,0.3177,1,False,True,0
36,0.26,1,False,False,0
36,0.1234,1,True,True,0
36,0.31,7,True,True,0
36,0.2452,6,True,True,0
36,0.3177,1,True,True,0
36,0.29,0,False,True,1
36,0.1601,0,True,True,0
60,0.197,13,False,True,0
60,0.176,1,True,True,0
36,0.0885,1,False,True,0
36,0.1449,8,True,True,0
36,0.184,1,False,True,0
60,0.1655,1,True,True,0
36,0.14,4,True,True,0
36,0.07,0,False,True,0
36,0.1252,3,False,True,0
60,0.1769,1,True,True,0
36,0.3199,7,False,False,0
36,0.1099,1,True,True,0
36,0.2745,1,False,True,0
36,0.17,0,True,True,0
36,0.2419,7,False,True,0
60,0.2225,2,True,True,0
36,0.1915,1,False,False,0
36,0.124,2,True,True,0
60,0.1364,11,False,True,0
36,0.2469,1,False,True,0
36,0.2925,1,False,True,0
36,0.1945,3,False,True,0
36,0.1795,1,False,True,0
36,0.2999,6,True,True,0
36,0.2999,2,False,True,0
36,0.1009,3,False,True,1
60,0.2432,1,False,True,0
36,0.1445,7,True,True,0
60,0.1725,1,True,True,0
36,0.2492,18,True,True,0
36,0.1639,1,True,True,0
36,0.0925,0,False,False,0
36,0.0712,6,False,True,0
36,0.0809,1,True,True,0
36,0.2504,1,True,True,0
36,0.083,7,True,True,0
60,0.2573,2,True,True,0
36,0.2085,7,True,True,0
60,0.2379,1,True,True,0
60,0.187,1,True,True,0
60,0.183,3,False,True,0
36,0.17,1,True,True,0
36,0.3177,3,True,True,0
36,0.0809,6,False,True,0
36,0.2155,2,False,True,0
60,0.1435,1,True,True,0
36,0.1355,1,True,True,0
36,0.078,0,False,True,0
36,0.0814,1,True,True,0
36,0.15,0,False,True,1
36,0.093,3,True,True,0
36,0.3134,7,True,True,0
60,0.1795,1,True,True,0
36,0.176,1,False,True,0
36,0.1089,1,True,True,0
36,0.2499,7,True,False,0
36,0.092,3,True,True,0
36,0.24,0,False,True,0
36,0.0995,0,True,True,0
36,0.0864,1,False,False,0
60,0.194,1,True,True,0
36,0.285,3,False,True,0
36,0.1469,7,True,True,0
36,0.24,0,False,True,0
36,0.3073,2,True,True,0
36,0.197,1,False,True,0
36,0.2925,2,True,True,0
36,0.2148,2,True,True,0
36,0.1089,7,True,False,0
36,0.25,0,False,True,0
36,0.2365,1,True,False,0
36,0.3177,2,False,False,0
36,0.1679,14,True,True,0
36,0.18,0,False,True,0
60,0.1585,2,True,True,0
60,0.176,1,False,True,0
36,0.3,0,False,True,0
60,0.2736,1,False,True,0
36,0.23,0,False,True,0
36,0.2599,7,False,True,0
60,0.1769,1,True,True,0
60,0.1346,19,True,True,0
36,0.1621,1,False,True,0
36,0.2575,7,False,True,0
36,0.0879,1,True,True,0
36,0.3199,3,False,True,0
36,0.15,0,False,True,0
36,0.1899,1,False,True,0
36,0.0949,1,False,True,0
60,0.2468,7,True,False,0
36,0.0659,1,True,True,0
36,0.27,0,False,True,0
60,0.162,1,False,True,0
60,0.2085,1,True,True,0
36,0.2786,15,True,False,0
36,0.1589,0,True,True,1
60,0.173,1,False,True,0
36,0.3177,7,True,True,0
36,0.1499,0,True,True,0
60,0.2179,1,False,True,0
36,0.18,0,True,True,0
36,0.2786,1,True,False,0
36,0.29,0,False,True,0
36,0.1559,1,True,False,0
36,0.197,1,False,True,0
36,0.29,0,False,True,0
60,0.1334,2,False,True,0
36,0.1202,4,True,True,0
36,0.1099,1,False,True,0
36,0.1099,1,True,True,0
36,0.1939,18,True,True,0
36,0.1,0,True,False,0
36,0.1655,7,False,True,0
60,0.1915,1,False,True,0
36,0.1905,1,False,True,0
60,0.1219,1,True,True,0
36,0.0809,1,True,True,0
36,0.285,1,True,True,0
36,0.2346,2,False,True,0
60,0.1419,1,True,True,0
60,0.18,1,True,True,0
36,0.0605,1,True,True,0
36,0.162,1,False,True,0
60,0.2099,2,True,True,0
36,0.0899,7,True,True,0
36,0.2499,2,True,True,0
36,0.35,7,False,True,0
36,0.322,1,True,True,0
36,0.15,1,False,True,0
36,0.2932,14,False,True,0
12,0.0817,1,False,True,0
60,0.2259,1,True,True,0
36,0.1775,0,False,True,0
36,0.201,1,False,True,1
36,0.29,0,False,True,0
36,0.08,0,False,True,0
36,0.1593,0,True,True,0
36,0.29,0,False,True,0
36,0.275,1,False,True,0
36,0.2712,1,False,True,0
36,0.2379,7,False,False,0
36,0.1774,7,False,True,0
36,0.1139,1,False,True,0
36,0.143,1,False,True,0
36,0.135,1,False,True,0
36,0.3149,1,False,True,0
36,0.0895,2,True,True,0
36,0.2958,1,True,True,0
36,0.1034,6,False,True,0
36,0.182,0,False,True,0
36,0.3177,1,False,True,0
36,0.3177,1,True,True,0
36,0.3199,1,True,True,0
36,0.2346,7,False,True,0
36,0.3495,1,False,True,1
60,0.2573,1,False,True,0
36,0.24,2,True,True,0
36,0.3199,6,False,True,0
36,0.29,0,False,True,1
36,0.1274,7,False,True,0
36,0.1905,0,False,True,0
60,0.2489,1,True,True,0
60,0.1355,1,False,True,0
60,0.1314,1,False,True,0
60,0.1364,15,False,True,0
36,0.3177,18,True,True,0
36,0.2552,3,True,True,0
36,0.1509,1,True,True,0
36,0.139,1,False,True,0
36,0.1874,15,False,True,0
36,0.1824,1,True,True,0
36,0.2699,1,False,True,0
36,0.2599,7,False,True,0
60,0.2624,1,True,True,0
36,0.2699,7,False,True,0
36,0.1314,2,True,True,0
60,0.1355,1,True,False,0
36,0.2839,1,False,True,0
36,0.24,0,True,True,0
60,0.1199,1,True,True,0
36,0.198,1,False,True,0
36,0.1449,19,False,True,0
36,0.2287,1,False,True,0
36,0.184,0,False,True,0
36,0.215,1,True,True,0
36,0.2199,7,True,True,0
36,0.2859,7,False,False,0
36,0.2625,1,False,True,0
36,0.2699,1,False,False,0
36,0.2287,11,False,True,0
36,0.3435,6,True,True,0
36,0.3177,1,True,True,0
36,0.1239,1,True,False,0
36,0.2,0,False,True,0
36,0.139,7,True,True,0
36,0.1175,0,False,True,0
60,0.189,1,False,True,0
36,0.197,1,False,True,0
36,0.155,1,True,False,0
36,0.125,0,True,True,0
36,0.093,1,False,False,0
36,0.3177,1,True,True,0
60,0.1519,18,False,True,0
36,0.0809,1,False,True,0
36,0.275,1,True,True,0
36,0.128,3,True,True,0
36,0.1039,2,False,True,0
36,0.0964,1,False,True,0
36,0.2124,15,True,True,0
36,0.12,5,False,True,0
36,0.1275,0,True,True,0
36,0.29,0,False,True,1
60,0.1465,1,False,True,0
36,0.3177,1,True,True,0
60,0.1685,1,False,True,0
36,0.1395,2,True,False,0
36,0.2999,18,False,False,0
36,0.2375,0,True,False,0
36,0.176,1,True,True,0
36,0.1734,2,True,True,0
36,0.3177,7,False,False,0
36,0.17,0,False,True,0
36,0.1734,2,True,False,0
36,0.12,0,False,True,0
36,0.29,0,False,True,0
36,0.0849,13,False,True,0
36,0.349,1,True,True,0
36,0.2599,1,True,True,0
60,0.1769,2,True,True,0
36,0.095,1,True,True,0
36,0.0868,4,True,True,0
36,0.1075,6,True,True,0
36,0.1189,1,True,True,0
36,0.1265,0,False,True,0
36,0.1349,1,False,True,0
36,0.2499,1,False,True,0
36,0.1305,1,True,False,0
60,0.2443,7,True,True,0
12,0.19,7,True,True,0
36,0.34,3,False,False,0
36,0.1626,1,True,True,0
36,0.2075,0,False,True,0
60,0.195,1,False,True,0
36,0.2049,15,False,True,0
36,0.2272,1,False,True,0
12,0.2499,6,True,True,0
36,0.2899,1,False,True,0
36,0.1355,1,True,True,0
36,0.3177,19,False,True,0
36,0.3125,1,False,True,0
36,0.0819,1,True,True,0
36,0.2475,0,True,True,0
36,0.2835,4,False,True,0
36,0.2,0,False,True,0
36,0.35,1,False,True,0
36,0.239,0,False,True,0
36,0.1385,7,True,True,0
36,0.35,1,True,False,0
36,0.2419,2,False,True,0
36,0.14,1,False,True,0
36,0.17,0,True,True,0
36,0.1099,1,False,True,0
60,0.1269,1,True,True,0
60,0.2099,1,False,True,0
36,0.26,1,False,True,0
36,0.12,1,True,True,0
36,0.3199,3,False,True,0
36,0.1695,1,True,True,0
36,0.1022,0,True,True,0
36,0.1349,0,True,True,0
12,0.2343,3,False,True,0
36,0.16,0,True,True,0
36,0.0865,0,False,True,0
60,0.2124,18,False,True,0
60,0.2235,1,False,True,0
36,0.2699,7,True,False,0
36,0.1902,1,True,True,0
60,0.1219,1,False,True,0
36,0.092,1,True,True,0
60,0.1915,7,False,True,0
36,0.148,7,True,False,0
60,0.2124,1,True,True,0
60,0.2969,15,False,True,0
36,0.1299,18,True,True,0
36,0.24,0,False,True,0
36,0.2,7,False,True,0
36,0.29,0,False,True,0
60,0.1551,1,True,True,0
36,0.27,0,False,True,0
36,0.11,0,False,True,0
36,0.0899,1,True,True,0
36,0.325,2,True,True,0
60,0.3304,1,True,True,0
12,0.1224,1,False,True,0
60,0.1585,1,True,True,0
36,0.26,0,False,True,2
36,0.103,1,True,True,0
36,0.125,0,False,True,1
36,0.0769,1,True,True,0
36,0.111,1,True,True,0
36,0.3435,1,False,True,0
36,0.3075,7,False,True,0
36,0.2099,13,False,True,0
36,0.1899,6,False,True,0
36,0.3134,13,False,True,0
36,0.2124,1,True,True,0
36,0.22,4,False,True,0
36,0.1115,1,True,True,0
36,0.1522,3,True,True,0
36,0.2499,7,False,True,0
36,0.34,1,False,True,0
36,0.1899,18,True,True,0
36,0.1098,1,False,True,0
36,0.3199,1,True,True,0
36,0.23,3,True,False,0
36,0.1199,20,False,True,0
36,0.152,1,False,True,0
36,0.0629,7,False,False,0
60,0.1465,7,True,True,0
60,0.0869,6,True,True,0
60,0.1799,2,True,True,0
36,0.274,3,True,True,1
36,0.0899,1,False,True,0
36,0.3058,1,False,True,0
60,0.1519,1,True,True,0
36,0.15,0,False,True,0
36,0.3199,3,True,True,0
36,0.1685,1,True,True,0
36,0.095,0,False,True,0
36,0.1905,1,True,True,0
36,0.1039,1,True,True,0
36,0.1039,1,True,True,0
36,0.2599,3,False,True,0
36,0.1888,0,False,True,0
36,0.3177,2,True,True,0
36,0.2394,1,True,True,0
36,0.1609,1,False,True,0
36,0.125,0,True,True,0
36,0.1199,1,True,True,0
36,0.2599,6,True,True,0
36,0.1355,1,False,True,0
36,0.1299,0,False,True,0
36,0.2524,1,True,True,0
60,0.2045,1,True,True,0
36,0.1799,1,False,True,0
60,0.2319,1,True,True,0
60,0.166,1,False,True,0
60,0.1579,13,True,True,0
60,0.1269,1,True,True,0
36,0.2177,0,False,True,0
36,0.1465,7,True,True,0
36,0.1449,15,True,True,0
36,0.2045,7,False,True,0
36,0.1045,3,False,True,0
36,0.29,0,True,True,0
60,0.2498,1,False,True,0
60,0.1605,1,False,True,0
36,0.1795,1,False,True,0
36,0.285,3,True,False,0
36,0.0799,20,True,True,0
36,0.3127,7,True,True,0
60,0.1224,1,False,True,0
60,0.3057,14,False,True,0
36,0.1775,1,False,True,0
36,0.1979,1,True,True,0
36,0.35,1,False,True,0
36,0.1435,1,True,True,0
36,0.21,1,False,True,1
60,0.195,1,True,True,0
60,0.1519,2,True,True,0
60,0.195,1,True,True,0
36,0.1949,7,True,True,0
36,0.0825,0,False,True,0
36,0.2211,1,False,True,0
36,0.274,1,True,True,0
36,0.1515,1,False,True,0
60,0.15,1,True,True,0
12,0.1177,1,True,True,0
36,0.3177,1,False,False,0
36,0.15,0,False,True,0
36,0.3199,7,True,True,0
36,0.2639,1,True,True,0
36,0.275,3,True,False,0
36,0.18,0,False,True,0
36,0.1695,0,True,True,0
36,0.18,0,True,True,0
36,0.21,7,False,True,0
36,0.099,1,False,True,0
